x_norm, y_norm, dis_pks, x_mm, y_mm, dis_mm 
0, -73, 73.0, 0, 10, 10.0
-19, -75, 77.3692445355388, -2, 10, 10.198039027185569
-54, -74, 91.60785992479029, -7, 10, 12.206555615733702
-90, -74, 116.51609330903607, -12, 10, 15.620499351813308
-128, -74, 147.85127662620977, -17, 10, 19.72308292331602
-163, -70, 177.39503938949363, -22, 10, 24.166091947189145
-193, -70, 205.30221625691235, -27, 10, 28.792360097775937
-229, -70, 239.459808736247, -32, 10, 33.52610922848042
-266, -70, 275.056357861439, -37, 10, 38.3275357934736
-296, -71, 304.39612349699854, -42, 10, 43.174066289845804
-325, -70, 332.4530041975858, -47, 10, 48.05205510693585
-353, -71, 360.06943774777665, -52, 10, 52.952809179494906
-383, -70, 389.34432062122085, -57, 10, 57.87054518492115
-420, -68, 425.46915281839176, -62, 10, 62.80127387243033
-449, -67, 453.97136473570663, -67, 10, 67.7421582177598
-475, -66, 479.5633430528234, -72, 10, 72.69112738154499
-500, -66, 504.3371887933707, -77, 10, 77.64663547121665
-525, -64, 528.8865662880842, -82, 10, 82.60750571225353
-548, -63, 551.6094632980837, -87, 10, 87.5728268357257
-570, -62, 573.3620147864698, -92, 10, 92.5418824100742
-590, -62, 593.2486831000975, -97, 10, 97.51410154434076
-610, -60, 612.9437168288782, -102, 10, 102.48902380255166
-630, -59, 632.7566672900413, -107, 10, 107.46627377926528
-648, -58, 650.5905010065856, -112, 10, 112.44554237496477
-664, -57, 666.4420454923294, -117, 10, 117.42657280190033
-682, -56, 684.2952579113785, -122, 10, 122.40914998479485
-697, -54, 699.0886925133319, -127, 10, 127.39309243440164
-712, -54, 714.0448165206438, -132, 10, 132.3782459469833
-728, -53, 729.9267086495739, -137, 10, 137.3644786689776
-741, -51, 742.7529872036868, -142, 10, 142.35167719419397
-753, -51, 754.7251155222012, -147, 10, 147.33974345029924
-765, -50, 766.6322456041097, -152, 10, 152.3285921946369
-777, -50, 778.6070896158087, -157, 10, 157.31814898478814
-788, -47, 789.4004053710639, -162, 10, 162.30834852218786
-798, -46, 799.3247149938503, -167, 10, 167.29913329123974
-807, -46, 808.3099652979666, -172, 10, 172.29045243425418
-819, -45, 820.2353320846402, -177, 10, 177.28226081590904
-828, -43, 829.1157940842762, -182, 10, 182.27451824103116
-833, -43, 834.1091055731258, -187, 10, 187.2671887971836
-838, -42, 839.0518458355241, -192, 10, 192.26024029944412
-845, -42, 846.0431431079624, -197, 10, 197.25364381932212
-852, -41, 852.98593188868, -202, 10, 202.2473732833136
-857, -40, 857.9329810655375, -207, 10, 207.24140512938047
-861, -40, 861.928651339541, -212, 10, 212.235718011837
-867, -40, 867.9222315392088, -217, 10, 217.23029254687293
-1, -109, 109.00458705944443, 0, 15, 15.0
-19, -109, 110.64357188738983, -2, 15, 15.132745950421556
-55, -108, 121.19818480488888, -7, 15, 16.55294535724685
-90, -109, 141.35416513141735, -12, 15, 19.209372712298546
-129, -109, 168.88457596832222, -17, 15, 22.67156809750927
-163, -108, 195.5326059765992, -22, 15, 26.627053911388696
-193, -106, 220.19309707617992, -27, 15, 30.886890422961002
-225, -106, 248.71871662583015, -32, 15, 35.34119409414458
-265, -103, 284.3132075722125, -37, 15, 39.92492955535426
-295, -102, 312.13618822558846, -42, 15, 44.598206241955516
-324, -104, 340.28223579846184, -47, 15, 49.33558553417604
-353, -103, 367.72000217556837, -52, 15, 54.120236510939236
-383, -103, 396.60811892849597, -57, 15, 58.9406481131655
-415, -104, 427.8329113100113, -62, 15, 63.788713735268246
-445, -101, 456.3178716640408, -67, 15, 68.65857557508748
-475, -99, 485.2071722470722, -72, 15, 73.54590403278758
-501, -97, 510.3038310653762, -77, 15, 78.44743462982075
-525, -95, 533.5260068637704, -82, 15, 83.3606621854697
-548, -94, 556.0035971106662, -87, 15, 88.28363381737297
-571, -92, 578.3640721898275, -92, 15, 93.2148056909416
-591, -92, 598.1178813578474, -97, 15, 98.15294188153507
-611, -89, 617.4479735167976, -102, 15, 103.0970416646375
-630, -87, 635.9787732306795, -107, 15, 108.04628637764465
-648, -86, 653.6818798161687, -112, 15, 113.0
-665, -85, 670.4103221162395, -117, 15, 117.957619508025
-682, -83, 687.0320225433455, -122, 15, 122.9186723000212
-697, -81, 701.6908151030623, -127, 15, 127.88275880665071
-712, -80, 716.4802858418367, -132, 15, 132.84953895290718
-727, -79, 731.2797002515522, -137, 15, 137.81872151489435
-740, -78, 744.0994557181184, -142, 15, 142.79005567615695
-752, -76, 755.8306688670419, -147, 15, 147.763324272297
-764, -74, 767.5754034620963, -152, 15, 152.73833834371774
-777, -73, 780.4216808879671, -157, 15, 157.71493271088823
-787, -71, 790.1961781734964, -162, 15, 162.69296235547498
-797, -70, 800.0681220996122, -167, 15, 167.6722994414999
-807, -69, 809.9444425391164, -172, 15, 172.6528308484978
-817, -67, 819.7426425409379, -177, 15, 177.63445611704955
-825, -66, 827.6357894629739, -182, 15, 182.61708572858126
-832, -65, 834.5351999766098, -187, 15, 187.6006396577581
-839, -64, 841.4374605399976, -192, 15, 192.5850461484484
-845, -64, 847.4202027329771, -197, 15, 197.57024067404484
-851, -62, 853.2555303073049, -202, 15, 202.5561650505854
-856, -61, 858.1707289345169, -207, 15, 207.54276667713572
-863, -60, 865.0832329897511, -212, 15, 212.52999788265186
-869, -59, 871.0005740526237, -217, 15, 217.51781536232843
0, -144, 144.0, 0, 20, 20.0
-18, -145, 146.11296999240005, -2, 20, 20.09975124224178
-54, -144, 153.79206741571556, -7, 20, 21.18962010041709
-89, -144, 169.28378540191025, -12, 20, 23.323807579381203
